No.;JOURNAL 2017;Impact_Factor_2017;ARTICLES (included and excluded);Article included or excluded ?;Conclusion;"Biological repetition  (Triplicated refers to > or = three times); or meta-analysis.";More_or_not;Considered as having more than three replicated results  ?;Exclusion criterion note. (gmos = genetically modified organisms created in this study and likely not bulked);Global or pooled p value, limit or result, found (sometimes indicated by global means with pooled results);Post-hoc or individual repeat p value, limit or result, found;Chosen relevant aim/result with categorically distinct groups;Note on study design;Categorically distinct groups;Chosen relevant quantitative parameter;Relevant statistical method(s).;One relevant p value, limit or result.;Factor replicated;Was evidence found for method replication ?;Was evidence found for replication of results ?;Results shown for each of the two, three (or more) experimental replicates ?;p-value or limit found in Abstract;p-value or limit found in Figures or Tables;p-value or limit found in text;p-value or limit found in supplementary file;Further notes.;Further notes 2.;"Risk: Evaluation is for main result. Low = p value or limit clearly for a main result; Medium = unclear if p value or limit  is for main result. Note this is for interest only - and non-main results were not excluded.";Risk: Repetition. Risk that number of replicates recorded is incorrect: Low = number of repeats clear including non-repeated. Medium = doubts arise as to how many times the investigation has been repeated or not. High = unclear how many times the investigation has been repeated or not. ;Risk: Repetition of p value (or p-value limit). Low = clear that p value has been repeated or not repeated. Medium = doubts arise as to whether the p value has been repeated or where the other p-values are (or whether it was obtained from all repeated results combined i.e. a Global p-value(s)). High = unclear whether the p value has been repeated or not. ;Details concerning relevant groups;Evidence for manipulation or random placement of groups during study;Indication of Association study;Notes;ASSOC_EXP;"Risk: reflecting doubts concerning identification of association or experimental: L = low; M = medium, H = high"
22;DENDROCHRONOLOGIA;2.055;"Sales L, Ohara H, Ohkawa K et al. Salt Tolerance in Apple Seedlings is Affected by an Inhibitor of ABA 8′-Hydroxylase CYP707A. Journal of Plant Growth Regulation. 2017;36:643-650.";Included;Non-replicated protocol;Non-repeated;no;no;n.a.;n.a.;n.a.;"Fig. 3: ""Endogenous ABA
levels (a) and the expressions
of MdNCED1 (b), MdNCED2
(c), MdCYP707A1 (d), and
MdCYP707A2 (e) in apple
leaves."""; -;"Untreated control; Abz-E2B-Nacl+; Abz-E2B+Nacl+; ";Fig .3 Expression of MdNCED2;Analysis of variance, then Tukey–Kramer test at P ≤ 0.05;P ≤ 0.05;Not replicated;No;No;n.a.; - ;Fig. 3; - ; - ; - ; - ;L;L;L;"Untreated control; Abz-E2B-Nacl+; Abz-E2B+Nacl+; ";"Untreated control; Abz-E2B-Nacl+; Abz-E2B+Nacl+; ";n.a.; - ;Experimental;L
23;Journal of Soil Science and Plant Nutrition;2.116;"Abunyewa AA, Ferguson RB, Wortmann CS, Mason SC. Grain sorghum nitrogen use as affected by planting practice and nitrogen rate. Journal of soil science and plant nutrition. 2017;17: 155–166. ";Included;Double result (repetition) protocol;Duplicated;no;no;n.a.;n.a.;Individual differences given.;Tables 1 and 2: Effects of row planting arrangement (RPA) on N concentration. ; - ;Row planting schemes s0, s1 and s2;Mean square of N concentration in Stover;"""Analysis of variance"" "" Fisher’s protected LSD test was used to separate treatment means at P ≤ 0.05. """;p < 0.01;Year;Yes: Tables 1 and 2;Yes: Tables 1 and 2;Yes: Tables 1 and 2; - ;"Table 1 (and Table 2). ""Analysis of variance summary for grain sorghum with three row planting arrangement, two plant populations and four N rates in 2006 in south-central Nebraska.  "" ""* = P ≤ 0.05; ** = P ≤ 0.01"""; - ; - ; - ; - ;L;L;M;Row planting schemes s0, s1 and s2;Row planting schemes s0, s1 and s2;n.a.; - ;Experimental;L
24;PLANT BIOLOGY;2.156;"Varga S, Kytöviita M. Sexes in gynodioecious Geranium sylvaticum do not differ in their isotopic signature or photosynthetic capacity. Plant biology. 2017;19 6:896-903.";Included;Global (replication-error) protocol (s.e.);Triplicated;no;no;n.a.;"Yes: ""Total seed production was also significantly lower in Low light plants (χ2 1 = 43.43, P < 0.01; Fig. 1b)""";Not found - Replication errors (s.e.) found - Fig 1;"Methods: ""In each site, two habitats were chosen differing in the amount of light plants received (referred as High and Low light habitats hereafter).""";"""Briefly, in 2010 we selected three meadows dominated by G. sylvaticum plants near Jyväskylä (Finland) with similar natural history (designated Site 1, Site 2 and Site 3)."" ";Low and high light intensity;total seed production per plant;"""ANOVA after using Generalised Linear Mixed Effects models (GLMER) with a negative binomial distribution to correct for the overdispersion observed in the data""";p < 0.01;"Meadow: three
meadows dominated by G. sylvaticum plants";Yes: Fig 1;Yes: Fig 1 -  replication errors;Not found; - ; - ;"Total seed production was also significantly lower in Low light plants (χ2 1 = 43.43, P < 0.01; Fig. 1b)"; - ; - ; - ;L;L;M;Low and high light intensity;"Methods: ""Soil and leaf samples were collected in the beginning of July 2013 in three experimental
populations established to evaluate long term reproductive output in response to light
availability """;n.a.; - ;Experimental;L
25;VEGETATION HISTORY AND ARCHAEOBOTANY;2.232;"Dighton A, Fairbairn AS, Bourke S, Faith J, Habgood P. Bronze Age olive domestication in the north Jordan valley: new morphological evidence for regional complexity in early arboricultural practice from Pella in Jordan. Vegetation History and Archaeobotany. 2017;26:403-413.";Included;Non-replicated protocol;Non-repeated;no;no;n.a.;n.a.;n.a.;"Table 3: ""p values for Mann Whitney pairwise tests for median endocarp length (a), width (b) by period at Pella"""; - ;Archeological period (treated as categorical);"median endocarp length; Table 3";Mann Whitney pairwise tests ;p = 0.001;Not replicated;No;No;n.a.; - ;"Table 3: ""p values for Mann Whitney pairwise tests for median endocarp length (a), width (b) by period at Pella; p = 0.001"""; - ; - ; - ; - ;L;L;L;Archeological period (treated as categorical);Not found;"Methods: ""established through an initial laboratory survey using low-powered microscopy to identify samples containing whole and fragmented olives. Specimens were grouped by archaeological"""; - ;Association;L
26;YEAST;2.283;"Hardman D, McFalls D, Fakas S. Characterization of phosphatidic acid phosphatase activity in the oleaginous yeast Yarrowia lipolytica and its role in lipid biosynthesis. Yeast. 2017;34: 83–91. ";Included;Global (replication-error) protocol (s.d.);Triplicated. No p-values found. Replication errors (s.d.) found;no;no;n.a.;Not found;Not found;"Table 2: ""Fatty acid composition of Y. lipolytica lipids extracted from cells grown on YPD media."" "; - ;growth phase;concentration of fatty acids;not found;not found;"Table 2: ""The data are the
averages of three separate experiments +_ SD""";"Table 2: ""The data are the
averages of three separate experiments +_ SD""";"Table 2: ""The data are the
averages of three separate experiments +_ SD""";no;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;L;n.a.;growth phase;"Methods: ""Strains and growth conditions""";n.a.; - ;Experimental;L
27;PLANT PATHOLOGY;2.303;"Fernández E, Trillas MI, Segarra G. Increased rhizosphere populations of Trichoderma asperellum strain T34 caused by secretion pattern of root exudates in tomato plants inoculated with Botrytis cinerea. Plant Pathology. 2017;66: 1110–1116. ";Included;Global (duplicated-methods) protocol;Duplicated (Global);no;no;n.a.;Yes: from pooled value(s);no;Fig 4: Numbers of populations of Trichoderma asperellum strain T34 with or without Botrytis cinerea  ; - ;Populations with or without Botrytis cinerea  ;Number of populations;"""ANOVA"" ""Duncan’s multiple range test was performed (P < 0.05)""";p < 0.05;Experiment;Yes: Fig 4. ;Yes: Fig 4. ;No; - ;"Fig 4. ""Means ± standard error, n = 12 (collected from two separate studies). Different lower case letters show significant differences between treatments and different upper case letters show significant difference between days within treatments (P < 0.05; anova test).'"; - ; - ;"""The experiment was repeated twice"""; - ;L;L;L;Populations with or without Botrytis cinerea  ;"Methods: ""the setup of the experiment was adapted from Kamilova et al. (2006a). Tomato cv. Roma seeds were surface sterilized by immersion in 5% HOCl for 3 min and subsequently washed with sterile distilled water (SDW).""";n.a.; - ;Experimental;L
28;ANNALS OF FOREST SCIENCE;2.357;"Flores Fernández JL, Hartmann P, Schäffer J, Puhlmann H, Wilpert K von. Initial recovery of compacted soil—planting and technical treatments decrease CO2 concentrations in soil and promote root growth. Annals of Forest Science. 2017;74: 73. ";Included;Triple result (repetition) protocol;Triplicated;no;no;n.a.;n.a.;Individual differences given.;"Table 2. ""Mean values of root growth ….  in the different treatments applied."""; - ;Different treatments applied;Root growth;"""linear mixed-effect model[s] [were] built using the function lmer of the package “lme4”""";p < 0.05;Year;Yes: Table 2;Yes: Table 2;Yes; - ;"Table 2. ""Lowercase superscripts (a–g) within the same
column indicate significant (p < 0.05) differences among treatments"""; - ; - ; - ; - ;L;L;L;Different treatments applied;Different treatments applied;n.a.; - ;Experimental;L
29;EUROPEAN JOURNAL OF FOREST RESEARCH;2.409;"Nielsen L, McKinney LV, Hietala A, Kjær ED. The susceptibility of Asian, European and North American Fraxinus species to the ash dieback pathogen Hymenoscyphus fraxineus reflects their phylogenetic history. European Journal of Forest Research. 2017;136:59-73.";Included;Global (triplicated-methods) protocol;Triplicated;no;no;n.a.;Yes: from pooled value(s);not found;"Table 2. ""F values and corresponding P values for variation among Fraxinus species, origins and sections"""; - ;sections (=phylogenetic groups within genus Fraxinus);Crown damage;"""generalized linear ANOVA model"" with F tests between species";p<0.007 ;species members of sections;From Fig 3 - each section has at least three species;no;no; - ;Table 2: p<0.007 ; - ; - ;"""The tested sections were Ornus, Fraxi-
nus and Melioides, whereas section Dipetalae was exclu-
ded as only one tree of a single species was available."""; - ;L;L;L;"sections (=phylogenetic groups within genus Fraxinus) Table 2. ""F values and corresponding P values for variation among Fraxinus species, origins and sections""";"Table 2: ""Evaluated trait on grafts: Necrosis development after infection with mycelial wood plugs.""";"Table 2 - observational study within the same table: ""Evaluated traits on mature trees were general health (GH) and three ash dieback-related traits: Percent damage score (PDS), necrosis (NEC) and epicormic shoots (EPIC) due to natural infections in arboretum. """;"Methods: ""All experimental plant material is based on a collection of
Fraxinus species growing in the Arboretum""";Experimental;M
30;Alpine Botany;2.448;"Sklenar P. Seasonal variation of freezing resistance mechanisms in north-temperate alpine plants. Alpine Botany. 2017;127: 31–39. ";Included;Double result (repetition) protocol;Duplicated;no;no;n.a.;n.a.;Individual differences given ;"Fig 2. ""Seasonal change in the nucleation temperature (left) and the Lt50 injury temperature (right) in leaves"""; - ;Early summer, late summer, early autumn (treated as categorical);Nucleation temperature;"""For both ANOVAs, pairwise comparisons were done by means of Tukey’s HSD tests.""";p < 0.05;"Location: ""The Giant Mts"" and ""Niwot Ridge""";"Yes: ""The study was carried out in the alpine belt of two temperate mountains""";Yes: Fig 2;Yes; - ; - ;""" avoidance was associated with significantly lower nucleation temperature (overall mean of −8.4 ± 2.1 °C) than tolerance (−6.3 ± 1.2 °C) (F = 36.76, p < 0.001)."""; - ;"""The study was carried out in the alpine belt of two temperate mountains on two different continents: (1) Niwot Ridge of the Rocky Mts. Front Range (Colorado, USA) between 3450 and 3500 m; and (2) Modré sedlo in the Giant (Krkonoše) Mts. (Czech Republic) between 1450 and 1510 m."""; - ;L;L;L;"Early summer, late summer, early autumn (treated as categorical). Fig 2. ""Seasonal change in the nucleation temperature (left) and the Lt50 injury temperature (right) in leaves""";Not found - random selection rather than random placement;"Methods: ""Nine randomly selected individuals of 37 common spe-
cies (Supplement Tables 1, 2) were sampled, except for
Valeriana cf. acutiloba for which only four individuals were
found. At Niwot Ridge, the plants were marked for repeated
sampling"""; - ;Association;M
31;Fungal Biology;2.571;"Gerace R, Montanini B, Proietto M, Levati E, De Luca C, Brenna A, et al. Photoreceptors in the dark: A functional white collar-like complex and other putative light-sensing components encoded by the genome of the subterranean fungus Tuber melanosporum. Fungal Biology. 2017;121: 253–263. ";Included;Global (triplicated-methods) protocol;Triplicated;no;no;n.a.;Yes: from pooled value(s);Not found;"Fig 4. "" RT Real-Time PCR analysis in the following strains: wild-type (WT); wc-1 null mutant (wc-1ko); wc-1ko strain transformed with a plasmid expressing the chimeric, Ncwc-1TmelLOV form of wc-1 (wc-1ko/Ncwc-1TmelLOV); wc-1ko strain transformed with a plasmid expressing N. crassa wc-1 (wc-1ko/Ncwc-1). ** p-value < 0.01; * p-value < 0.05.""";Although the gmo strains were created in the study - it is clear that these have been bulked before the experiment in Fig 4. ;N. crassa strains;Relative mRNA levels (al3/gpd);Student's t test;p < 0.01;Experiment;"Yes: ""values derived from at least three independent replicate experiments"" ";No;No; - ;"Fig 4. ""** p-value < 0.01"""; - ; - ;""" Mean 2-ΔΔCT (ΔCT = CTgene of interest – CTinternal standard) values derived from at least three independent replicate experiments (two in the case of ectomycorrhiza) were calculated and analysed for statistical significance by the Student's t test."" The data was therefore grouped"; - ;L;L;L;N. crassa strains;Although the gmo strains were created in the study - it is clear that these have been bulked before the experiment in Fig 4. ;n.a.; - ;Experimental;L
32;PHYSIOLOGIA PLANTARUM;2.580;"Chen T, Zhou B, Duan L, Zhu H, Zhang Z. MtMAPKK4 is an essential gene for growth and reproduction of Medicago truncatula. Physiologia Plantarum. 2017;159: 492–503. ";Included;Non-replicated protocol;Non-repeated;no;no;n.a.;n.a.;n.a.;"Fig 3. ""Numbers of infection threads and nodules per root of the wild type R108 and mapkk4/+ heterozygotes."""; - ;Genotype;Fig 3. Number of infection threads;Not stated: presumably t-test;p < 0.001;Not replicated;No;No;n.a.; - ;"Fig 3. ""Asterisks indicate statistical differences from the value of the control at ** < 0.001."""; - ; - ;"""The experiment was performed with three technical replicates, and the averages of measurements were presented. "" Only biological replication is considered in this report"; - ;L;L;L;Genotype;"""M. truncatula ecotype R108 and heterozygous mutant
plant (mapkk4/+) isolated from NF14691 (http://bioinfo4
.noble.org/mutant/) were used for phenotype analysis.""";n.a.; - ;Experimental;L
33;FORESTRY;2.638;"Özden S, Ennos AR, Cattaneo M. Transverse fracture properties of green wood and the anatomy of six temperate tree species. Forestry. 2017;90:58-69.";Included;Non-replicated protocol;Non-repeated;no;no;n.a.;n.a.;n.a.;"Table 7: ""Mean density (±SE) (n = 60 for each species) and ray measurement results (n = 5) for each species of six plant species."""; - ;six plant species;Total ray number per unit area;not found;not found (used AIC);Not replicated;"Table 7: ""(n = 60 for each species)""";no;no; - ;not found (AIC used in other tables/figures); - ; - ; - ; - ;L;L;n.a.;six plant species;Not found - trees were randomly selected - not randomly placed;"Methods: ""Each sample tree was selected at random – half the sample comprised hardwoods (Q. robur, F. excelsior and P. avium) and the other half conifers (L. decidua, T. plicata and P. sylvestris) – in order to determine the variation in specific fracture energies (Gf, Jmˉ²) across the tree species. All six logs were harvested from live trees in the University of Manchester’s arboretum""";"Methods: ""After the experiments, tested samples were kept at 4 °C"" - this refers to measurements - not experiments";Association;M
34;JOURNAL OF VEGETATION SCIENCE;2.658;"Barbé M, Fenton NJ, Bergeron Y. Boreal bryophyte response to natural fire edge creation. Journal of Vegetation Science. 2017;28: 915–927. ";Included;Global (triplicated-methods) protocol;Triplicated;Yes;no;n.a.;Yes: from pooled value(s);Not found;"Table 1: ""Life traits and substratum preferences of indicator species of undisturbed cores and of residual edges"""; - ;Residual EDGE (RPE) or Residual CORE;Number of species in each life strategy (perennial, colonist, shuttle, dominant);Kruskal–Wallis tests;p = 0.007;plot;"Yes: Methods: ""Bryophyte community was sampled in 50-m2 plots: 117 plots in 39
undisturbed forest cores (control) and 108 plots in 30 residual forest patches
from wildfire, divided into 48 core plots, 30 north-facing edge plots and 30
south-facing edge plots.""";No;No; - ; - ;"""Residual cores and edges were distinct in terms of life form and strategy of the restricted and over‐represented species (P = 0.016 and P = 0.007, respectively"""; - ;"""We selected six wildfires all dominated by black spruce, on clay soil and little paludified but varying in age (8–42 yr), size (6915–25 517 ha) and origin (lightning or human). Thirty‐nine undisturbed forests were selected as controls (i.e. housing an undisturbed bryophyte community). Five residual patches were identified in each wildfire, and were divided into cores (forest inside the patch) and edges (transient zone between core forest and burned matrix)."""; - ;L;L;L;"Residual EDGE (RPE) or Residual CORE; ";Not found;"Methods: ""five categories of environmental variables (i.e. temporal, severity, spatial and structural at coarse and fine scales) were recorded in each undisturbed forest and residual patch to describe forest types """; - ;Association;L
35;PRESLIA;2.706;"Feulner M, Weig A, Paule J, Gregor T, Schott LF, Aas G. Genetic variability and morphology of tri- and tetraploid members of the Sorbus aria complex in northern Bavaria. Preslia. 2017;89:275-290.";;Global (triplicated-methods) protocol;Triplicated;no - most taxa only 3;no;n.a.;Yes: from pooled value(s);Not found;"Table 4: ""Morphological character values (median or mean) of the taxa of the Sorbus aria complex studied."""; - ;Sorbus taxa;leaf perimeter;"Table 4: ""Significant differences according to unequal-N HSD are indicated with different upper script letters.""";presumably p < 0.05;From Table 2: four of the taxa are triplicated;Yes: from Table 2: four of the taxa are triplicated;no;no; - ;"Table 4: ""Significant differences according to unequal-N HSD are indicated with different upper script letters."""; - ; - ; - ; - ;L;L;L;Sorbus taxa;Not found;"Methods: ""Fig. 1 shows the populations of the Sorbus aria complex studied in the Franconian Jura"""; - ;Association;L
36;PLANT PHYSIOLOGY AND BIOCHEMISTRY;2.718;"Amini S, Maali-Amiri R, Mohammadi R, Kazemi- Shahandashti S-S. cDNA-AFLP analysis of transcripts induced in chickpea plants by TiO2 nanoparticles during cold stress. Plant Physiology and Biochemistry. 2017;111: 39–49. ";Included;Global (triplicated-methods) protocol;Triplicated;no;no;n.a.;Yes: from pooled value(s);Not found;"Fig 1: ""Fig. 1. The electrolyte leakage index content in leaves of tolerant (a) and susceptible (b) chickpea genotypes during optimum temperature (23 C), the rst and sixth days of cold
stress (4 C)."""; - ;tolerant and susceptible chickpea genotypes;Electrolyte leakage index;"""The data were analyzed on the basis of ANOVA, treatment means via Duncan multiple range tests, by using SAS software."" These tests test means, not values";"Fig 1: ""Different letters indicate significant differences based on Duncan's multiple range tests.""";"Experiment (""3 replications"")";"Methods: ""Completely Randomized Design (CRD) with 3 replications.""";"Methods: ""Completely Randomized Design (CRD) with 3 replications.""";Not found;n.a.;"Fig 1: ""Different letters indicate significant differences based on Duncan's multiple range tests.""";n.a.;n.a.;"Methods: ""The experiment design was carried out in a factorial 3 (thermal treatments, optimum temperature, the first and sixth days of CS)  2 (genotypes, tolerant and susceptible)  2 (TiO2 NPs concentrations, 0 and 5 mg l1 ) by applying Completely Randomized Design (CRD) with 3 replications."""; - ;L;L;M;tolerant and susceptible chickpea genotypes;"Fig 1: ""Fig. 1. The electrolyte leakage index content in leaves of tolerant (a) and susceptible (b) chickpea genotypes during optimum temperature (23 C), the rst and sixth days of cold
stress (4 C).""";n.a.; - ;Experimental;L
37;AoB Plants;2.821;"Münzbergová Z, Skuhrovec J. Contrasting effects of ploidy level on seed production in a diploid–tetraploid system. AoB Plants. 2016;9:plw077.";Included;Global (triplicated-methods) protocol;Triplicated;no;no;n.a.;Yes: from pooled value(s);Not found;"Fig 3. ""The effect of ploidy level on production of developed undamaged seeds."""; - ;"Diploid; tetraploid";"""No. of developed seeds""";"""Redundancy analyses (RDA), a form of linear multivariate analysis""";p < 0.001;population;"Methods: ""For the purpose of this study, we used three populations of each cytotype located in or very near the Czech Republic,""";No ;No ; - ;"Fig 3. ""The effect of ploidy level on production of developed undamaged seeds. The difference in seed production between the two cytotypes is significant (P < 0.001) """; - ; - ; - ; - ;L;L;L;"Diploid; tetraploid";"Methods: ""following plant cultivation and basic experimental set-up procedures described in Munzbergova et al. (2015). """;n.a.; - ;Experimental;L
38;JOURNAL OF PLANT PHYSIOLOGY;2.833;"Oustric J, Morillon R, Luro F, Herbette S, Lourkisti R, Giannettini J, et al. Tetraploid Carrizo citrange rootstock (Citrus sinensis Osb.×Poncirus trifoliata L. Raf.) enhances natural chilling stress tolerance of common clementine (Citrus clementina Hort. ex Tan). Journal of Plant Physiology. 2017;214: 108–115. ";Included;Double result (repetition) protocol;Duplicated;no;no;n.a.;n.a.;Individual difference given for 2015/2016 only;"Table 2. ""Change in electrolyte leakage between the warm and the cold period."""; - ;diploid (C/2xCC) and tetraploid (C/4xCC) Carrizo citrange rootstocks,;Electrolyte leakage (%);"""ANOVA and Fisher LSD tests""";p < 0.05;Year;"Methods: ""The same study was also carried out in 2014–2015 and the results obtained were identical (data not shown).""";"Yes: Methods: ""The same study was also carried out in 2014–2015 and the results obtained were identical (data not shown).""";No - only results from 2015/2016 are given; - ;"Table 2. ""All data are presented as mean (±S.E.) of four independent measurements (n = 4). Data were analysed using ANOVA and Fisher LSD tests (P < 0.05)."""; - ; - ; - ; - ;L;L;L;diploid (C/2xCC) and tetraploid (C/4xCC) Carrizo citrange rootstocks,;"Methods: ""The experiment was performed on 40-year-old Clementine trees (Citrus clementina Hort. ex Tan; SRA 63; ICVN 0100059) grafted onto Carrizo citrange rootstock (Citrus sinensis (L.) Obs. x Poncirus trifoliata (L.) Raf.; ICVN 0110476).""";n.a.;"Methods: ""Trees were grown under organic farming conditions in an orchard located in Moriani, Corsica, France""";Experimental;M
39;Plant Genome;2.923;"Hoyos-Villegas V, Song Q, Kelly JD. Genome-wide Association Analysis for Drought Tolerance and Associated Traits in Common Bean. The Plant Genome. 2017;10(1). doi: 10.3835/plantgenome2015.12.0122.";Included;Global (triplicated-methods) protocol;Triplicated;Yes;no;n.a.;Yes: from pooled value(s);Not found;"Table 1: ""Minimum, mean, and maximum phenotypic values for the shoot biomass, 100-seed weight, and lodging traits with marker–trait associations found during the 2011 (rainfed), 2012 (irrigated and rainfed), and 2013 (irrigated and rainfed) growing seasons """; - ;irrigated and rainfed plots;shoot biomass at harvest;"""linear unbiased predictions""";p < 0.05;plot;"Methods: ""In 2012 and 2013, irrigated and rainfed plots with three replications each were planted but in 2011, only rainfed plots (with two replications)""";No;No; - ; - ;"Results: ""The false discovery rate adjusted p-values determined a significant (p < 0.05) signal for shoot biomass (Table 1) at the time of harvest under both irrigated and rainfed conditions """; - ;"Methods: ""Field trials were conducted at the Montcalm Research Center at Entrican, MI, in 2011 and 2013 and at the Saginaw Valley Research and Extension Center in Richville, MI, in 2012."""; - ;L;L;L;irrigated and rainfed plots;irrigated and rainfed plots;n.a.; - ;Experimental;L
40;PLANT DISEASE;2.941;"Koehler AM, Shew HD. Enhanced Overwintering Survival of Stevia by QoI Fungicides Used for Management of Sclerotium rolfsii. Plant Disease. 2017;101: 1417–1421. ";Included;Triple result (repetition) protocol;Triplicated;Yes - 4;yes - 4;n.a.;n.a.;Individual differences given ;"Introduction: ""determine whether fungicide applications consistently enhance overwintering survival of stevia."""; - ;Fungicide treatments versus non-treated controls;% Emergence after overwintering;"""Mixed-model ANOVA"" ""LSmeans were separated using paired t tests""";p < 0.0001;Trial;"Methods: ""Overwintering …. In trial 1, emergence rates were counted on 14 April and 4 May 2015. In trial 2, emergence rates were collected on 19 April and 24 May 2016. In trial 3, emergence rates were collected on 19 April. "" ""In trial 4, emergence rates were counted on 30 April and 16 May 2016.""";"Results: ""In 2016, when comparing emerged plants on 19 April and 24 May, significant treatment effects were again observed (P < 0.0001). """;; - ; - ;"Results: ""In 2016, when comparing emerged plants on 19 April and 24 May, significant treatment effects were again observed (P < 0.0001). "" Results for trial 1, trial 2 (2016) and trial 3 are given in Table 4. Trial 4 did not have Sclerotium rolfsii (it used Stevia rebaudiana) but results are still given in Results."; - ;"""When comparing emerged plants of trial 1 on 14 April to the total emerged at 4 May, there were significant treatment effects (P < 0.0001). In azoxystrobin treatments, 80.4% of the total plants that successfully overwintered had emerged by 14 April whereas only 48.1% of plants treated with flutolanil, 41.8% of plants treated with tebuconazole, and 32.5% of nontreated control plants had emerged. In 2016, when comparing emerged plants on 19 April and 24 May, significant treatment effects were again observed (P < 0.0001)."" ";"
""In trial 4 at the Rocky Mount location, mean overwintering survival was 58.4 to 94.2% across treatments. There were no significant differences among the six QoI fungicide treatments. All azoxystrobin and pyraclostrobin treatments had significantly higher overwintering emergence than the nontreated control whether they were applied before or after harvest. (P < 0.0015; Table 5).""";L;L;L;Fungicide treatments versus non-treated controls;Fungicide treatments versus non-treated controls;n.a.; - ;Experimental;L
41;JOURNAL OF PHYCOLOGY;3.000;"Smith‐Harding TJ, Beardall J, Mitchell JG. The role of external carbonic anhydrase in photosynthesis during growth of the marine diatom Chaetoceros muelleri. Journal of Phycology. 2017;53: 1159–1170.";Included;Global (triplicated-methods) protocol;Triplicated;no;no;n.a.;Yes: from pooled value(s);Not found;"Fig 2: ""Comparisons between the CO2 drawdown capacity of Chaetoceros muelleri cultures (lmol L 1 h 1) and the theoretical CO2 supply from spontaneous HCO3 dehydration in the medium at each of three measured stages of growth."; - ;drawdown capacity versus supply;CO2 measurement;"""unpaired t-test""";p < 0.0001;independent cultures;"Fig 2: ""Values are means ( SEM) of measurements from triplicate independent cultures.""";no;no; - ; - ;"Results: ""(unpaired t-test, t1,4= 15.26, P < 0.001)"""; - ;"Fig 2: ""Comparisons between the CO2 drawdown capacity of Chaetoceros muelleri cultures (lmol L 1 h 1) and the theoretical CO2 supply from spontaneous HCO3 dehydration in the medium at each of three measured stages of growth. Values are means ( SEM) of measurements from triplicate independent cultures."""; - ;L;L;L;drawdown capacity versus supply;"Fig 2: ""Comparisons between the CO2 drawdown capacity of Chaetoceros muelleri cultures (lmol L 1 h 1) and the theoretical CO2 supply from spontaneous HCO3 dehydration in the medium at each of three measured stages of growth.";n.a.; - ;Experimental;L
42;PHYTOPATHOLOGY;3.036;"Wu G, Su P, Wang B, Zhang Y, Qian G, Liu F. Novel Insights into Tat Pathway in Xanthomonas oryzae pv. oryzae Stress Adaption and Virulence: Identification and Characterization of Tat-Dependent Translocation Proteins. Phytopathology. 2017;107 9:1011-1021.";Included;Global (triplicated-methods) protocol;Triplicated;no;no;n.a.;Yes: from pooled value(s);Not found;"Fig 5: ""Effects of mutations in 15 twin-arginine translocation-dependent translocation protein-coding genes on extracellular polysaccharide (EPS) production and swarming motility of Xanthomonas oryzae pv. oryzae."" "; - ;genes;EPS production;"""t-test""";P < 0.01;experiment;"Fig 5: ""Values presented are the means ± standard deviation from three independent experiments. """;no;no; - ;Fig 5: P < 0.01; - ; - ;"Methods: ""The biological experiments were performed three times and each involved three replicates."""; - ;L;L;L;genes;"Methods: ""The wild-type (WT) strain PXO99A of X. oryzae pv. oryzae and its derivatives were cultured at 28°C in liquid nutrient broth (NB) """;n.a.; -;Experimental;L
43;PHOTOSYNTHESIS RESEARCH;3.091;"Sekhar KM, Reddy KS, Reddy AR. Amelioration of drought-induced negative responses by elevated CO2 in field grown short rotation coppice mulberry (Morus spp.), a potential bio-energy tree crop. Photosynthesis Research. 2017;132: 151–164. ";Included;Non-replicated protocol;Non-repeated;no;no;n.a.;n.a.;n.a.;"Fig 2. ""ImageJ analysis showing changes in plant phenological characteristics, total chlorophyll content, and above-ground biomass yields"" "; - ;Elevated drought or ambient drought;Individual leaf density;"""Analysis of variance""";p < 0.001;Not replicated;No;No;No; - ;"Fig 2. "" Results shown in the figures are an average of time points and values are ±SD of three plants (n = 3) with statistical significance of *(P < 0.05), **(P < 0.01), ***(P < 0.001) and ns not significant"""; - ; - ; - ; - ;L;L;L;Elevated drought or ambient drought ;"Abstract: ""Present study describes the responses of short rotation coppice (SRC) mulberry, a potential bio-energy tree, grown under interactive environment of elevated ­ CO2 (E) and water stress (WS).""";n.a.; - ;Experimental;L
